Author,year_published,reference_period,midpoint_ref,country,ISO,cases,denominator,denom_type,mnm_ratio,area,location_detail,pop_based,mnm_criteria,icu_only,id,region,citation,criteria_clean,criteria_type
Menezes,2015,2011-2012,2011.5,Brazil,BRA,404,20435,admissions,19.77,Regional ,2 hospitals in Aracaju,0,Reichenheim 2009,1,131,Latin America and the Caribbean,Menezes et al. (2015),Reichenheim 2009,other
Menezes,2015,2011-2012,2011.5,Brazil,BRA,959,20435,admissions,46.93,Regional ,2 hospitals in Aracaju,0,Waterstone 2001,1,132,Latin America and the Caribbean,Menezes et al. (2015),Waterstone 2001,other
Ghazal-Aswad,2013,1998-2003,2000.5,United Arab Emirates,ARE,926,122705,deliveries,7.55,Regional ,Four maternity units in Abu Dhabi,0,"Complication based (eclampsia, severe pre-eclampsia, severe hemorrhage, ruptured uterus, sepsis, HELLP (hemolysis, elevated liver enzymes, and low platelet count), deep venous thrombosis (DVT), and pulmonary embolism (PE))",1,133,Northern Africa and Western Asia,Ghazal-Aswad et al. (2013),Complication-based,other
Mansuri,2019,2015-2016,2015.5,India,IND,247,21491,livebirths,11.49,Regional ,Four hospitals Ahmedabad,0,WHO,1,134,Central and Southern Asia,Mansuri et al. (2019),WHO,who
Huda,2012,2007,2007.5,Bangladesh,BGD,141,1927,pregnant women,73.17,Regional ,"Public and Private hospitals Matlab and Chandpur, and icddr,b",0,"Complication based (Dystocia, severe haemorrhage 2 or more units, Eclampsia, severe pre-eclampsia, sepsis, severe anaemia)",NA,135,Central and Southern Asia,Huda et al. (2012),Complication-based,other
Tenaw,2021,2019-2020,2019.5,Ethiopia,ETH,108,1173,livebirths,92.07,Regional,Two major private hospitals in Harar and Dire Dawa,0,sub-Saharan Africa criteria,1,136,Sub-Saharan Africa,Tenaw et al. (2021),Modified WHO,who
Gebremariam,2022,2012-2017,2014.5,Ethiopia,ETH,36.2,905,deliveries,40,Regional,"Three selected hospitals in North Shewa Zone, Central Ethiopia",0,WHO,0,137,Sub-Saharan Africa,Gebremariam et al. (2022),WHO,who
Wakgar,2019,2014-2016,2015.5,Ethiopia,ETH,501,15059,admissions,33.27,Regional,Hawassa University comprehensive specialized and Yirgalem hospital.¬†,0,WHO,0,138,Sub-Saharan Africa,Wakgar et al. (2019),WHO,who
Yemane,2020,2017,2017.5,Ethiopia,ETH,210,5530,livebirths,37.97,Regional,Three randomly selected public hospitals in south western Ethiopia,0,WHO,0,139,Sub-Saharan Africa,Yemane et al. (2020),WHO,who
Worke,2019,2018,2018.5,Ethiopia,ETH,152,572,deliveries,265.73,Regional ,Three out of five referral hospitals in Amhara chosen randomly,0,"Modified WHO to include severe conditions, interventions, and organ dysfunction",0,140,Sub-Saharan Africa,Worke et al. (2019),Modified WHO,who
Dile,2015,2013,2013.5,Ethiopia,ETH,188,806,admissions,233.25,Regional,Three out of five referral hospitals in Amhara state,0,unclear,0,141,Sub-Saharan Africa,Dile et al. (2015),WHO,other
Heemelaar,2019,2018,2018.5,Namibia,NAM,61,5772,livebirths,10.57,Regional ,Four representative hospitals,0,WHO,0,142,Sub-Saharan Africa,Heemelaar  et al. (2019),WHO,who
Heemelaar,2019,2018,2018.5,Namibia,NAM,184,5772,livebirths,31.88,Regional ,Four representative hospitals,0,WHO,0,143,Sub-Saharan Africa,Heemelaar  et al. (2019),Modified WHO,who
Oppong,2019,2015,2015.5,Ghana,GHA,288,8433,livebirths,34.15,Regional,Three tertiary hospitals in Southern Ghana,0,Modified WHO,0,144,Sub-Saharan Africa,Oppong et al. (2018),Modified WHO,who
Beyene,2022,2018,2018.5,Ethiopia,ETH,90,2880,livebirths,31.25,Regional,Three hospitals in southern Ethiopia,0,WHO,0,145,Sub-Saharan Africa,Beyene et al. (2022),WHO,who
Tura,2018,2016-2017,2016.5,Ethiopia,ETH,594,7404,livebirths,80.23,Regional ,Two hospitals in Eastern Ethiopia,0,sub-Saharan Africa criteria,0,146,Sub-Saharan Africa,Tura et al. (2018),Modified WHO,who
Tura,2018,2016-2017,2016.5,Ethiopia,ETH,128,7404,livebirths,17.29,Regional ,Two hospitals in Eastern Ethiopia,0,WHO,0,147,Sub-Saharan Africa,Tura et al. (2018),WHO,who
Kusheta,2023,2019,2019.5,Ethiopia,ETH,70,2724,livebirths,25.7,Regional,"All public hospitals in Hadiya zone, southern Ethiopia",0,sub-Saharan Africa criteria,0,148,Sub-Saharan Africa,Kusheta et al. (2023),Modified WHO,who
Roopa,2013,2011-2012,2011.5,India,IND,131,7330,livebirths,17.87,Regional,1 tertiary and 6 PHC,0,WHO,0,149,Central and Southern Asia,Roopa et al. (2013),WHO,who
Bakshi,2015,2015,2015.5,India,IND,51,688,livebirths,74.13,Regional ,"2 primary, 1 community, and 1 tertiary facility ",0,WHO,0,150,Central and Southern Asia,Bakshi et al. (2015),WHO,who
Kulkarni,2016,2012-2014,2013.5,India,IND,525,14508,livebirths,36.19,Regional,2 tertiary centres,0,Modified WHO - include severe anaemia,0,151,Central and Southern Asia,Kulkarni et al. (2016),WHO,who
Mohammadi,2016,2012-2014,2013.5,Iran,IRN,82,12965,livebirths,6.32,Regional ,1 secondary and 2 tertiary facilitiies,0,Modified WHO (transfusion of ≥4 units of blood and an acute decrease in the platelet count to ≤75 000 platelets/mL),0,152,Central and Southern Asia,Mohammadi et al. (2016),Modified WHO,who
Zhou,2024,2012-2022,2017.5,China,CHN,2461,731185,livebirths,3.37,Regional,18 hospitals in Hunan province,0,WHO,0,153,Eastern and South-Eastern Asia,Zhou et al. (2024),WHO,who
Kamangira,2024,2022,2022.5,Ethiopia,ETH,55,1421,livebirths,38.71,Regional,Four public hospitals in Borena zone,0,WHO,0,154,Sub-Saharan Africa,Kamangira et al. (2024),WHO,who
